PARTICLE_SIMULATION_DATA_2D
NumBalls: 100
Ball_1 Red 3.05344
Ball_2 Red 2.01213
Ball_3 Red 1.18264
Ball_4 Red 3.2903
Ball_5 Red 1.36259
Ball_6 Red 1.98214
Ball_7 Red 3.77896
Ball_8 Red 3.63584
Ball_9 Red 3.09209
Ball_10 Red 2.7973
Ball_11 Red 1.62446
Ball_12 Red 1.94811
Ball_13 Red 1.61538
Ball_14 Red 1.93014
Ball_15 Red 2.78329
Ball_16 Red 2.17036
Ball_17 Red 1.26069
Ball_18 Red 3.0636
Ball_19 Red 2.45687
Ball_20 Red 3.19283
Ball_21 Red 3.72322
Ball_22 Red 1.69827
Ball_23 Red 3.21614
Ball_24 Red 3.69816
Ball_25 Red 2.0661
Ball_26 Red 2.27476
Ball_27 Red 3.52721
Ball_28 Red 3.90092
Ball_29 Red 3.73894
Ball_30 Red 2.11571
Ball_31 Red 3.54872
Ball_32 Red 3.72311
Ball_33 Red 3.22888
Ball_34 Red 2.30465
Ball_35 Red 2.20228
Ball_36 Red 3.93197
Ball_37 Red 2.69136
Ball_38 Red 3.94055
Ball_39 Red 1.16562
Ball_40 Red 1.15633
Ball_41 Red 1.84201
Ball_42 Red 2.01524
Ball_43 Red 3.70549
Ball_44 Red 2.68955
Ball_45 Red 3.66308
Ball_46 Red 3.96086
Ball_47 Red 3.16307
Ball_48 Red 1.44201
Ball_49 Red 3.11713
Ball_50 Red 2.79562
Ball_51 Blue 1.75242
Ball_52 Blue 1.37568
Ball_53 Blue 1.44003
Ball_54 Blue 1.41958
Ball_55 Blue 3.87515
Ball_56 Blue 3.61885
Ball_57 Blue 1.31919
Ball_58 Blue 2.8999
Ball_59 Blue 3.22755
Ball_60 Blue 1.11567
Ball_61 Blue 1.15349
Ball_62 Blue 3.54943
Ball_63 Blue 1.53229
Ball_64 Blue 3.78445
Ball_65 Blue 2.37357
Ball_66 Blue 3.47509
Ball_67 Blue 1.8887
Ball_68 Blue 3.62832
Ball_69 Blue 3.50034
Ball_70 Blue 1.60048
Ball_71 Blue 1.52084
Ball_72 Blue 2.3503
Ball_73 Blue 1.43034
Ball_74 Blue 3.1909
Ball_75 Blue 1.81099
Ball_76 Blue 2.92672
Ball_77 Blue 2.04205
Ball_78 Blue 3.70717
Ball_79 Blue 2.67416
Ball_80 Blue 3.31149
Ball_81 Blue 3.58713
Ball_82 Blue 2.91387
Ball_83 Blue 2.82406
Ball_84 Blue 2.44742
Ball_85 Blue 3.792
Ball_86 Blue 2.67792
Ball_87 Blue 1.82249
Ball_88 Blue 3.6341
Ball_89 Blue 3.83796
Ball_90 Blue 2.18644
Ball_91 Blue 3.31998
Ball_92 Blue 2.23816
Ball_93 Blue 2.10827
Ball_94 Blue 2.7375
Ball_95 Blue 3.0971
Ball_96 Blue 1.03845
Ball_97 Blue 3.94269
Ball_98 Blue 3.84353
Ball_99 Blue 3.88619
Ball_100 Blue 2.39151
NumSteps: 100
Step 0 0.1
0 85.2775 474.434
1 414.29 353.783
2 524.471 396.369
3 896.325 201.24
4 685.632 726.919
5 914.904 78.1242
6 244.666 71.2788
7 536.351 580.42
8 600.005 157.171
9 607.281 563.836
10 775.776 692.751
11 473.203 124.274
12 532.876 502.491
13 635.238 605.688
14 451.477 218.943
15 767.476 633.363
16 170.592 178.256
17 146.037 296.286
18 554.882 358.513
19 694.285 193.14
20 481.743 168.751
21 352.294 525.557
22 662.684 426.938
23 417.338 254.666
24 419.888 443.193
25 587.003 301.125
26 649.163 123.837
27 984.037 356.932
28 521.899 783.255
29 847.873 424.553
30 291.962 743.399
31 542.385 552.801
32 171.867 674.626
33 664.88 290.57
34 965.862 215.798
35 9.18643 76.6448
36 850.015 296.024
37 916.49 338.595
38 740.26 638.314
39 798.614 167.801
40 758.325 748.202
41 518.811 739.397
42 435.114 263.003
43 761.381 506.443
44 129.748 634.133
45 572.311 111.968
46 698.792 480.492
47 195.297 545.828
48 126.395 758.898
49 369.279 684.43
50 840.966 438.726
51 963.719 656.357
52 43.0168 226.404
53 466.525 366.07
54 598.957 536.816
55 198.699 109.352
56 688.177 351.925
57 627.314 129.727
58 868.701 483.476
59 890.093 706.989
60 5.55626 270.157
61 504.967 761.88
62 862.786 95.8868
63 53.2696 454.381
64 546.66 476.562
65 336.996 312.604
66 621.298 627.79
67 296.444 544.096
68 513.482 6.59949
69 430.82 193.92
70 843.088 660.724
71 56.737 681.571
72 204.571 192.043
73 978.189 689.288
74 587.121 769.48
75 405.846 621.598
76 615.32 74.224
77 492.949 752.467
78 347.636 627.826
79 408.981 437.895
80 604.952 726.279
81 254.671 604.156
82 892.765 19.4646
83 895.507 341.45
84 371.384 163.278
85 372.208 257.022
86 105.367 89.5208
87 212.925 345.465
88 529.402 544.565
89 625.451 220.959
90 143.875 261.491
91 410.101 548.676
92 845.781 39.3014
93 391.34 386.74
94 984.044 197.751
95 751.992 122.844
96 896.949 130.46
97 307.332 530.711
98 823.301 33.9912
99 409.238 588.638
Step 1 0.1
0 83.675 471.798
1 409.543 355.764
2 523.239 399.414
3 894.3 198.974
4 685.814 727.23
5 910.987 79.5854
6 248.104 73.4287
7 534.667 579.708
8 597.286 154.943
9 602.791 563.283
10 776.912 693.699
11 477.29 123.068
12 533.141 500.234
13 633.388 601.742
14 447.506 218.324
15 768.413 635.075
16 169.024 180.373
17 145.872 296.763
18 552 357.943
19 689.319 189.32
20 483.934 173.656
21 350.608 528.78
22 660.585 426.033
23 415.714 249.756
24 420.707 447.558
25 587.05 301.097
26 652.956 119.121
27 986.833 360.478
28 521.696 779.218
29 843.213 420.708
30 291.858 742.31
31 544.901 557.283
32 176.745 673.057
33 663.873 287.259
34 961.933 212.491
35 10.8245 74.9163
36 849.134 294.909
37 914.132 337.097
38 739.426 635.711
39 799.739 162.82
40 754.728 745.744
41 515.44 737.146
42 438.842 259.458
43 764.69 504.609
44 128.263 633.387
45 576.703 111.578
46 694.421 478.446
47 193.964 547.652
48 129.332 762.53
49 369.881 682.709
50 843.478 434.205
51 962.669 661.112
52 45.4676 227.278
53 469.589 363.875
54 596.611 534.348
55 194.877 105.233
56 687.864 351.736
57 628.615 125.085
58 864.497 479.679
59 890.338 703.796
60 1.92547 269.274
61 508.203 758.954
62 866.054 93.5201
63 51.4089 454.546
64 546.549 480.758
65 341.353 310.788
66 622.96 622.886
67 297.557 545.872
68 513.536 6.05696
69 430.993 194.883
70 842.395 661.553
71 55.6087 682.453
72 207.453 196.747
73 975.424 693.32
74 586.136 770.234
75 403.441 625.391
76 612.485 69.4195
77 491.488 754.485
78 351.042 632.066
79 408.972 439.642
80 602.689 723.991
81 257.053 602.61
82 890.379 18.9618
83 894.193 342.924
84 368.249 163.531
85 375.454 255.256
86 102.166 88.4408
87 215.475 341.801
88 525.386 542.958
89 623.7 225.23
90 140.473 258.864
91 409.875 549.003
