PARTICLE_SIMULATION_DATA_2D
NumBalls: 50
33 70.0608 678.994
34 698.409 549.876
35 838.025 86.0435
36 176.751 622.062
37 96.7998 16.896
38 754.754 561.262
39 483.632 552.274
40 854.261 580.843
41 391.189 558.386
42 515.826 162.243
43 513.666 349.283
44 861.138 148.719
45 906.146 598.186
46 957.905 390.419
47 714.077 683.293
48 445.529 293.451
49 770.331 635.844
Step 5 0.1
0 266.099 538.19
1 691.688 6.59694
2 637.28 266.541
3 778.499 243.186
4 234.198 696.236
5 144.818 366.831
6 892.419 153.59
7 655.68 779.841
8 149.9 264.369
9 177.427 345.785
10 648.39 64.0359
11 109.295 440.674
12 559.64 533.944
13 661.288 624.914
14 584.645 108.341
15 806.344 106.643
16 949.846 216.359
17 798.427 786.738
18 540.259 455.9
19 193.623 327.244
20 688.684 76.3046
21 430.467 778.802
22 639.611 197.472
23 616.611 560.72
24 772.401 531.597
25 41.0531 71.7808
26 478.816 134.737
27 547.89 348.046
28 81.3653 655.093
29 955.878 748.325
30 315.87 764.559
31 602.681 792.169
32 593.125 62.6265
33 67.9073 674.708
34 702.138 545.526
35 837.393 88.256
36 174.163 618.906
37 100.382 19.4819
38 758.381 565.386
39 480.213 549.958
40 852.127 576.184
41 391.74 560.371
42 511.573 162.756
43 511.611 353.09
44 861.263 151.341
45 911.082 593.551
46 961.916 393.227
47 710.6 679.343
48 445.54 296.613
49 769.706 631.966
Step 6 0.1
0 266.094 537.206
1 689.763 5.1389
2 635.186 268.942
3 781.532 247.782
4 235.351 695.974
5 146.965 366.186
6 901.277 155.943
7 656.489 783.189
8 153.774 263.022
9 178.379 346.465
10 652.548 65.9114
11 111.688 442.472
12 558.329 537.832
13 657.197 621.107
14 583.189 111.147
15 803.192 110.351
16 953.704 214.999
17 798.82 783.226
18 543.175 451.435
19 192.545 324.644
20 690.806 81.1637
21 426.35 782.507
22 635.549 202.021
23 612.789 561.627
24 774.565 532.152
25 42.5205 76.3138
26 481.551 136.317
27 544.316 348.723
28 80.3143 658.805
29 951.784 751.529
30 314.294 767.775
31 606.415 793.499
32 592.586 60.9023
33 65.7537 670.422
34 705.868 541.176
35 836.761 90.4685
36 171.576 615.75
37 103.965 22.0679
38 762.007 569.51
39 476.793 547.642
40 849.994 571.525
41 392.29 562.356
42 507.32 163.268
43 509.555 356.898
44 861.389 153.964
45 916.019 588.917
46 965.927 396.035
47 707.124 675.392
48 445.551 299.776
49 769.08 628.087
Step 7 0.1
0 266.089 536.222
1 687.839 8.39962
2 633.093 271.344
3 784.566 252.378
4 236.504 695.713
5 149.111 365.541
6 910.136 158.297
7 657.297 786.538
8 157.648 261.675
9 179.33 347.145
10 656.707 67.7869
11 114.08 444.271
12 557.019 541.721
13 653.107 617.299
14 581.733 113.953
15 800.04 114.059
16 957.563 213.639
17 799.213 779.714
18 546.091 446.97
19 191.467 322.045
20 692.927 86.0229
21 422.233 786.211
22 631.486 206.571
23 608.968 562.533
24 776.729 532.707
25 43.988 80.8469
26 484.285 137.898
27 540.743 349.4
28 80.9336 661.46
29 947.689 754.733
30 312.718 770.991
31 610.15 791.656
32 592.047 59.1781
33 61.1833 667.665
34 709.598 536.827
35 836.129 92.681
36 168.988 612.594
37 107.548 24.6538
38 765.634 573.634
39 473.374 545.326
40 847.861 566.866
41 392.841 564.342
42 503.067 163.78
43 507.5 360.705
44 861.515 156.586
45 920.956 584.282
46 969.938 398.843
47 703.647 671.441
48 445.562 302.938
49 768.455 624.209
Step 8 0.1
0 266.083 535.238
1 685.915 11.6603
2 630.999 273.745
3 787.6 256.974
4 237.656 695.452
5 151.258 364.897
6 918.995 160.65
7 658.105 789.886
8 161.521 260.328
9 180.282 347.825
