PARTICLE_SIMULATION_DATA_3D
NumBalls: 11
Ball_1 Black 10
Ball_2 Red 3
Ball_3 Red 3
Ball_4 Red 3
Ball_5 Red 3
Ball_6 Red 3
Ball_7 Red 3
Ball_8 Red 3
Ball_9 Red 3
Ball_10 Red 3
Ball_11 Red 3
NumSteps: 201
Step 0 0.1
6 62.4935 63.8459 -32.2681
7 -43.5727 66.6919 127.526
8 121.689 128.058 19.7589
9 -30.8467 6.93915 34.6528
10 -144.165 36.8799 88.0717
Step 16 0.1
0 2.1806 2.11936 2.17065
1 -1719.89 -1478.79 -1439.08
2 82.5114 111.102 -139.1
3 35.4483 128.403 -74.1189
4 61.3201 101.805 77.4324
5 65.5266 -98.0481 -51.6913
6 58.8804 60.5278 -30.9781
7 -42.6489 65.5693 126.986
8 119.599 128.336 19.5064
9 -24.2489 4.06063 28.9143
10 -143.389 35.7056 86.3784
Step 17 0.1
0 2.34276 2.30932 2.37307
1 -1863.39 -1602.2 -1559.14
2 81.4738 109.921 -138.433
3 33.5221 126.702 -73.0817
4 60.7588 98.9709 76.5389
5 64.6825 -96.7894 -49.2612
6 55.016 56.9522 -29.541
7 -41.6824 64.3862 126.327
8 117.439 128.54 19.2437
9 -16.1653 1.07424 21.6734
10 -142.525 34.5116 84.635
Step 18 0.1
0 2.49146 2.49954 2.59037
1 -2006.88 -1725.6 -1679.21
2 80.4031 108.695 -137.706
3 31.5684 124.885 -71.9755
4 60.1253 96.0187 75.5542
5 63.7485 -95.3876 -46.7567
6 50.8674 53.0832 -27.9316
7 -40.6727 63.1421 125.545
8 115.209 128.669 18.9711
9 -5.18669 -1.71777 11.4145
10 -141.569 33.2981 82.8411
Step 19 0.1
0 2.583 2.65933 2.87433
1 -2150.38 -1849.01 -1799.28
2 79.2989 107.424 -136.918
3 29.5878 122.95 -70.7974
4 59.4152 92.9433 74.473
5 62.7211 -93.836 -44.1769
6 46.3916 48.8732 -26.1154
7 -39.6191 61.8364 124.637
8 112.909 128.719 18.6883
9 17.7746 2.07285 -12.6146
10 -140.52 32.0653 80.9962
Step 20 0.1
0 2.69665 2.81967 3.13665
1 -2293.88 -1972.41 -1919.35
2 78.1609 106.108 -136.068
3 27.5808 120.891 -69.5444
4 58.6235 89.7394 73.2894
5 61.5962 -92.1271 -41.5206
6 41.5298 44.2557 -24.0439
7 -38.5206 60.4682 123.6
8 110.538 128.689 18.3955
9 36.2786 6.03733 -32.0983
10 -139.374 30.8135 79.0999
Step 21 0.1
0 2.81525 2.98192 3.39478
1 -2437.38 -2095.82 -2039.41
2 76.9886 104.745 -135.155
3 25.5482 118.704 -68.2129
4 57.7447 86.4009 71.9965
5 60.3694 -90.2525 -38.7872
6 36.1998 39.1319 -21.6473
7 -37.3765 59.0365 122.43
8 108.095 128.575 18.0925
9 53.9152 9.92181 -50.6705
10 -138.129 29.5429 77.1516
Step 22 0.1
0 2.93656 3.14614 3.65109
1 -2580.87 -2219.22 -2159.48
2 75.7818 103.335 -134.177
3 23.4909 116.382 -66.7995
4 56.7722 82.9212 70.5868
5 59.0355 -88.2027 -35.9754
6 30.2777 33.36 -18.8085
7 -36.1858 57.5402 121.121
8 105.579 128.375 17.7794
9 71.1832 13.7584 -68.8521
10 -136.781 28.2538 75.1508
Step 23 0.1
0 3.06011 3.31261 3.90616
1 -2724.37 -2342.63 -2279.55
2 74.54 101.876 -133.132
3 21.41 113.921 -65.2999
4 55.6983 79.2924 69.0513
5 57.5888 -85.9672 -33.0841
6 23.5432 26.6883 -15.3026
7 -34.9471 55.9778 119.668
8 102.99 128.087 17.4559
9 88.2464 17.5644 -86.8161
10 -135.327 26.9463 73.0967
Step 24 0.1
0 3.18616 3.48204 4.15969
1 -2867.87 -2466.03 -2399.61
2 73.2631 100.368 -132.018
3 19.3066 111.312 -63.7096
4 54.5141 75.5056 67.3798
5 56.0224 -83.5337 -30.1117
6 15.55 18.5794 -10.6157
7 -33.6594 54.3478 118.066
8 100.328 127.706 17.1222
9 105.179 21.3499 -104.641
10 -133.762 25.6207 70.9886
Step 25 0.1
0 3.31627 3.65667 4.40942
1 -3011.36 -2589.44 -2519.68
2 71.951 98.8097 -130.833
3 17.1819 108.549 -62.0233
4 53.2088 71.5504 65.5598
5 54.328 -80.8879 -27.0565
6 5.02814 7.38288 -2.90599
7 -32.321 52.6485 116.308
8 97.5899 127.229 16.7783
9 122.019 25.1209 -122.369
10 -132.084 24.2773 68.8259
Step 26 0.1
0 3.45876 3.85812 4.60896
1 -3154.86 -2712.84 -2639.75
2 70.6035 97.1997 -129.577
3 15.0373 105.624 -60.2348
4 51.7695 67.4144 63.5766
5 52.4959 -78.0127 -23.9164
6 -14.2003 -22.7656 42.013
7 -30.9304 50.8777 114.385
8 94.7764 126.654 16.4242
9 138.792 28.8809 -140.025
10 -130.286 22.9165 66.6077
Step 27 0.1
0 3.60111 4.05967 4.81042
1 -3298.35 -2836.24 -2759.81
2 69.2201 95.5378 -128.247
3 12.8745 102.527 -58.3371
4 50.1804 63.0831 61.4121
5 50.5147 -74.8875 -20.6895
6 -32.9835 -52.2412 85.9898
7 -29.4856 49.0331 112.289
8 91.886 125.975 16.0601
9 155.513 32.6324 -157.626
10 -128.364 21.5387 64.333
Step 28 0.1
0 3.74379 4.26204 5.01294
1 -3441.85 -2959.65 -2879.88
2 67.7999 93.8233 -126.84
3 10.6958 99.2463 -56.3222
4 48.4221 58.5393 59.0438
5 48.3707 -71.4877 -17.374
6 -51.6725 -81.5702 129.758
7 -27.9845 47.1123 110.011
8 88.9175 125.189 15.6858
9 172.193 36.3769 -175.183
10 -126.312 20.1442 62.0012
Step 29 0.1
0 3.88687 4.46537 5.21649
1 -3585.35 -3083.05 -2999.95
2 66.342 92.0552 -125.354
3 8.50396 95.7689 -54.1806
4 46.47 53.7619 56.4431
5 46.0472 -67.7823 -13.9683
6 -70.3216 -110.836 173.436
7 -26.4249 45.1125 107.539
8 85.8696 124.29 15.3014
9 188.838 40.1153 -192.705
10 -124.125 18.7337 59.6111
Step 30 0.1
0 4.03042 4.66973 5.42116
1 -3728.84 -3206.46 -3120.01
2 64.8455 90.2325 -123.787
3 6.30262 92.0795 -51.9012
4 44.2915 48.7247 53.5725
5 43.5234 -63.7329 -10.4713
6 -88.9485 -140.068 217.065
7 -24.8038 43.0308 104.859
8 82.7408 123.273 14.907
9 205.456 43.8487 -210.196
10 -121.795 17.3079 57.1617
Step 31 0.1
0 4.17451 4.87515 5.6271
1 -3872.34 -3329.86 -3240.08
2 63.3093 88.3538 -122.135
3 4.09647 88.1602 -49.4711
4 41.8434 43.3946 50.3819
5 40.7728 -59.2898 -6.88277
6 -107.562 -169.277 260.661
7 -23.118 40.8634 101.957
8 79.5295 122.132 14.5026
9 222.05 47.5777 -227.663
10 -119.316 15.8676 54.6519
Step 32 0.1
0 4.31926 5.08167 5.83451
1 -4015.84 -3453.27 -3360.14
2 61.7325 86.4178 -120.394
3 1.89169 83.9895 -46.8745
4 39.0643 37.7285 46.8011
5 37.7607 -54.3875 -3.20456
6 -126.165 -198.471 304.236
7 -21.3637 38.6064 98.8135
8 76.2342 120.861 14.0881
9 238.625 51.3029 -245.108
10 -116.678 14.4138 52.0804
