PARAMETRIC_CURVE_CARTESIAN_2D
Damped forced pendulum - phase space trajectories
t1: 0
t2: 1
NumPoints: 1000
0 0.21 0 
0.001001 0.209934 -0.0143155 
0.002002 0.209734 -0.0286298 
0.003003 0.209402 -0.0429415 
0.004004 0.208936 -0.0572496 
0.00500501 0.208336 -0.0715526 
0.00600601 0.207601 -0.0858494 
0.00700701 0.206732 -0.100139 
0.00800801 0.205728 -0.114419 
0.00900901 0.204587 -0.128689 
0.01001 0.20331 -0.142948 
0.011011 0.201896 -0.157194 
0.012012 0.200343 -0.171425 
0.013013 0.198651 -0.18564 
0.014014 0.19682 -0.199838 
0.015015 0.194847 -0.214018 
0.016016 0.192732 -0.228176 
0.017017 0.190473 -0.242313 
0.018018 0.18807 -0.256425 
0.019019 0.185519 -0.270512 
0.02002 0.182819 -0.284571 
0.021021 0.179968 -0.2986 
0.022022 0.176965 -0.312597 
0.023023 0.173805 -0.32656 
0.024024 0.170486 -0.340486 
0.025025 0.167005 -0.354372 
0.026026 0.163358 -0.368216 
0.027027 0.15954 -0.382013 
0.028028 0.155548 -0.395761 
0.029029 0.151376 -0.409456 
0.03003 0.147018 -0.423093 
0.031031 0.142468 -0.436666 
0.032032 0.137717 -0.450171 
0.033033 0.132758 -0.463601 
0.034034 0.12758 -0.476948 
0.035035 0.122174 -0.490204 
0.036036 0.116525 -0.503359 
0.037037 0.110621 -0.516401 
0.038038 0.104445 -0.529317 
0.039039 0.0979767 -0.542089 
0.04004 0.0911954 -0.554698 
0.041041 0.0840749 -0.567118 
0.042042 0.076585 -0.579319 
0.043043 0.0686907 -0.591263 
0.044044 0.0603498 -0.602899 
0.045045 0.0515136 -0.614164 
0.046046 0.0421246 -0.624972 
0.047047 0.0321164 -0.63521 
0.048048 0.0214163 -0.644722 
0.049049 0.0099505 -0.653294 
0.0500501 -0.00233695 -0.660635 
0.0510511 -0.0154491 -0.666365 
0.0520521 -0.0292786 -0.670033 
0.0530531 -0.0435375 -0.671211 
0.0540541 -0.0577638 -0.669674 
0.0550551 -0.0714615 -0.665524 
