PARAMETRIC_CURVE_CARTESIAN_2D
brown_motion_main_body_path.txt
t1: 0
t2: 100
NumPoints: 100
0 500 400 
1.0101 500 400 
2.0202 500 400 
3.0303 500.016 399.968 
4.0404 500.043 399.915 
5.05051 500.07 399.862 
6.06061 500.098 399.809 
7.07071 500.125 399.755 
8.08081 500.152 399.702 
9.09091 500.179 399.649 
10.101 500.206 399.596 
11.1111 500.233 399.542 
12.1212 500.261 399.489 
13.1313 500.288 399.436 
14.1414 500.315 399.383 
15.1515 500.342 399.329 
16.1616 500.369 399.276 
17.1717 500.396 399.223 
18.1818 500.423 399.17 
19.1919 500.458 399.119 
20.202 500.566 399.091 
21.2121 500.674 399.063 
22.2222 500.782 399.035 
23.2323 500.926 399.078 
24.2424 501.075 399.132 
25.2525 501.223 399.185 
26.2626 501.372 399.239 
27.2727 501.521 399.293 
28.2828 501.664 399.346 
29.2929 501.765 399.39 
30.303 501.866 399.434 
31.3131 501.967 399.478 
32.3232 502.068 399.521 
33.3333 502.17 399.565 
34.3434 502.271 399.609 
35.3535 502.372 399.653 
36.3636 502.473 399.697 
37.3737 502.574 399.741 
38.3838 502.675 399.785 
39.3939 502.776 399.829 
40.404 502.877 399.873 
41.4141 502.979 399.917 
42.4242 503.08 399.961 
43.4343 503.175 400.071 
44.4444 503.267 400.235 
45.4545 503.357 400.453 
46.4646 503.446 400.67 
47.4747 503.531 400.874 
48.4848 503.595 401.019 
49.4949 503.659 401.165 
50.5051 503.746 401.348 
51.5152 503.867 401.589 
52.5253 503.989 401.83 
53.5354 504.151 402.072 
54.5455 504.383 402.322 
55.5556 504.613 402.589 
56.5657 504.857 402.933 
57.5758 505.1 403.277 
58.5859 505.344 403.621 
59.596 505.588 403.964 
60.6061 505.831 404.308 
61.6162 506.075 404.652 
62.6263 506.319 404.996 
63.6364 506.562 405.34 
64.6465 506.818 405.689 
65.6566 507.137 406.065 
66.6667 507.456 406.442 
67.6768 507.775 406.818 
68.6869 508.108 407.2 
69.697 508.475 407.596 
70.7071 508.843 407.993 
71.7172 509.289 408.413 
72.7273 509.74 408.834 
73.7374 510.207 409.273 
74.7475 510.689 409.678 
75.7576 511.172 410.083 
76.7677 511.654 410.487 
77.7778 512.136 410.892 
78.7879 512.619 411.297 
79.798 513.101 411.702 
80.8081 513.584 412.107 
81.8182 514.066 412.512 
82.8283 514.548 412.916 
83.8384 515.031 413.321 
84.8485 515.513 413.726 
85.8586 515.995 414.131 
86.8687 516.478 414.536 
87.8788 516.96 414.94 
88.8889 517.443 415.345 
89.899 517.925 415.75 
90.9091 518.407 416.155 
91.9192 518.89 416.56 
92.9293 519.372 416.964 
93.9394 519.854 417.369 
94.9495 520.337 417.774 
95.9596 520.819 418.179 
96.9697 521.302 418.584 
97.9798 521.802 419.018 
98.9899 522.332 419.5 
100 522.862 419.982 
