PARAMETRIC_CURVE_CARTESIAN_2D
brown_motion_main_body_path.txt
t1: 0
t2: 100
NumPoints: 100
0 500 400 
1.0101 500 400 
2.0202 500 400 
3.0303 500 400 
4.0404 500.06 400.008 
5.05051 500.155 400.02 
6.06061 500.262 400.097 
7.07071 500.369 400.175 
8.08081 500.476 400.253 
9.09091 500.608 400.383 
10.101 500.741 400.513 
11.1111 500.873 400.643 
12.1212 501.006 400.773 
13.1313 501.138 400.903 
14.1414 501.27 401.049 
15.1515 501.394 401.266 
16.1616 501.573 401.497 
17.1717 501.779 401.734 
18.1818 501.986 401.972 
19.1919 502.188 402.177 
20.202 502.384 402.336 
21.2121 502.58 402.494 
22.2222 502.776 402.652 
23.2323 502.972 402.81 
24.2424 503.168 402.969 
25.2525 503.364 403.127 
26.2626 503.56 403.285 
27.2727 503.714 403.38 
28.2828 503.867 403.474 
29.2929 503.998 403.576 
30.303 504.032 403.711 
31.3131 504.068 403.857 
32.3232 504.122 404.111 
33.3333 504.176 404.365 
34.3434 504.23 404.619 
35.3535 504.285 404.873 
36.3636 504.339 405.127 
37.3737 504.393 405.381 
38.3838 504.447 405.634 
39.3939 504.543 405.865 
40.404 504.649 406.089 
41.4141 504.756 406.313 
42.4242 504.863 406.538 
43.4343 505.018 406.815 
44.4444 505.174 407.094 
45.4545 505.331 407.373 
46.4646 505.488 407.652 
47.4747 505.662 407.907 
48.4848 505.844 408.151 
49.4949 506.026 408.395 
50.5051 506.208 408.639 
51.5152 506.39 408.883 
52.5253 506.572 409.127 
53.5354 506.776 409.353 
54.5455 507.059 409.517 
55.5556 507.342 409.68 
56.5657 507.625 409.844 
57.5758 507.872 409.98 
58.5859 508.077 410.084 
59.596 508.282 410.188 
60.6061 508.487 410.292 
61.6162 508.693 410.396 
62.6263 508.898 410.5 
63.6364 509.103 410.604 
64.6465 509.308 410.708 
65.6566 509.513 410.812 
66.6667 509.719 410.916 
67.6768 509.946 411.03 
68.6869 510.187 411.15 
69.697 510.428 411.27 
70.7071 510.668 411.39 
71.7172 510.909 411.51 
72.7273 511.15 411.63 
73.7374 511.346 411.69 
74.7475 511.51 411.704 
75.7576 511.674 411.719 
76.7677 511.838 411.733 
77.7778 512.002 411.747 
78.7879 512.18 411.772 
79.798 512.416 411.844 
80.8081 512.652 411.915 
81.8182 512.889 411.986 
82.8283 513.125 412.058 
83.8384 513.361 412.129 
84.8485 513.597 412.2 
85.8586 513.834 412.272 
86.8687 514.047 412.363 
87.8788 514.224 412.486 
88.8889 514.385 412.632 
89.899 514.587 412.75 
90.9091 514.788 412.869 
91.9192 514.99 412.987 
92.9293 515.169 413.12 
93.9394 515.299 413.286 
94.9495 515.428 413.453 
95.9596 515.558 413.619 
96.9697 515.688 413.786 
97.9798 515.818 413.952 
98.9899 515.947 414.118 
100 516.077 414.285 
