PARAMETRIC_CURVE_CARTESIAN_2D
Log spiral
t1: 0
t2: 10
NumPoints: 101
0 1 0 
0.1 0.900317 0.090333 
0.2 0.802411 0.162657 
0.3 0.707731 0.218927 
0.4 0.617406 0.261035 
0.5 0.532281 0.290786 
0.6 0.452954 0.309882 
0.7 0.379809 0.319909 
0.8 0.313051 0.322329 
0.9 0.252728 0.318477 
1 0.198766 0.30956 
1.1 0.150989 0.296657 
1.2 0.10914 0.280725 
1.3 0.0729019 0.2626 
1.4 0.0419134 0.243009 
1.5 0.0157836 0.222571 
1.6 -0.00589528 0.20181 
1.7 -0.0235378 0.181161 
1.8 -0.0375563 0.160976 
1.9 -0.048354 0.141537 
2 -0.0563193 0.12306 
2.1 -0.0618217 0.105706 
2.2 -0.0652078 0.089584 
2.3 -0.0668001 0.0747635 
2.4 -0.0668948 0.0612766 
2.5 -0.0657619 0.0491256 
2.6 -0.0636442 0.0382881 
2.7 -0.0607586 0.0287223 
2.8 -0.0572966 0.0203707 
2.9 -0.0534252 0.0131643 
3 -0.0492888 0.00702595 
3.1 -0.0450102 0.00187318 
3.2 -0.0406927 -0.00237946 
3.3 -0.0364214 -0.00581816 
3.4 -0.0322652 -0.00852824 
3.5 -0.0282785 -0.0105927 
3.6 -0.0245028 -0.0120913 
3.7 -0.020968 -0.0130994 
3.8 -0.0176946 -0.0136877 
3.9 -0.0146943 -0.0139217 
4 -0.0119719 -0.0138613 
4.1 -0.00952637 -0.013561 
4.2 -0.00735174 -0.0130698 
4.3 -0.00543827 -0.0124311 
4.4 -0.00377323 -0.0116831 
4.5 -0.00234173 -0.0108594 
4.6 -0.00112734 -0.00998842 
4.7 -0.000112678 -0.00909458 
4.8 0.000720095 -0.00819818 
4.9 0.00138888 -0.00731591 
5 0.0019113 -0.00646118 
5.1 0.00230443 -0.00564446 
5.2 0.0025846 -0.00487363 
5.3 0.00276721 -0.00415434 
5.4 0.00286664 -0.00349025 
5.5 0.00289617 -0.00288338 
5.6 0.00286794 -0.00233434 
5.7 0.00279292 -0.00184257 
5.8 0.00268096 -0.00140661 
5.9 0.00254078 -0.00102421 
6 0.00238002 -0.000692602 
6.1 0.00220534 -0.000408566 
6.2 0.00202241 -0.000168624 
6.3 0.00183605 3.08754e-05 
6.4 0.00165023 0.000193653 
6.5 0.00146824 0.00032342 
6.6 0.00129267 0.000423811 
6.7 0.00112553 0.000498335 
6.8 0.000968313 0.000550331 
6.9 0.000822076 0.000582943 
7 0.00068747 0.000599094 
7.1 0.000564823 0.000601476 
7.2 0.000454186 0.000592541 
7.3 0.000355386 0.000574503 
7.4 0.000268063 0.000549338 
7.5 0.000191719 0.000518793 
7.6 0.000125743 0.000484397 
7.7 6.94519e-05 0.000447469 
7.8 2.21074e-05 0.000409138 
7.9 -1.7055e-05 0.000370351 
8 -4.88098e-05 0.000331893 
8.1 -7.39252e-05 0.0002944 
8.2 -9.31501e-05 0.000258375 
8.3 -0.000107204 0.000224205 
8.4 -0.000116771 0.000192171 
8.5 -0.00012249 0.000162467 
8.6 -0.000124956 0.000135207 
8.7 -0.000124714 0.000110441 
8.8 -0.000122259 8.81664e-05 
8.9 -0.000118036 6.83337e-05 
9 -0.000112442 5.08595e-05 
9.1 -0.000105828 3.56324e-05 
9.2 -9.84976e-05 2.25207e-05 
9.3 -9.07134e-05 1.13782e-05 
9.4 -8.26987e-05 2.04952e-06 
9.5 -7.46402e-05 -5.6252e-06 
9.6 -6.66917e-05 -1.18069e-05 
9.7 -5.89771e-05 -1.66544e-05 
9.8 -5.15936e-05 -2.03219e-05 
9.9 -4.46149e-05 -2.29567e-05 
10 -3.80938e-05 -2.46985e-05 
